Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0113,APPROVED,Not Applicable,2024-09-06T15:23:30.771000Z,2024-09-06T15:27:05.748000Z,2024-09-06T15:49:00.515000Z,2024-09-06T15:27:06.391578Z,215.0,266,"English, French, Latvian",50,Male,Other,Canada,Canada,Canada,Latvian,No,Full-Time
P0091,APPROVED,Not Applicable,2024-09-06T15:23:30.045000Z,2024-09-06T15:25:03.494000Z,2024-09-06T15:49:00.805000Z,2024-09-06T15:25:04.439870Z,94.0,23,English,34,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0105,APPROVED,Not Applicable,2024-09-06T15:23:31.141000Z,2024-09-06T15:26:21.646000Z,2024-09-06T15:49:01.061000Z,2024-09-06T15:26:22.573175Z,171.0,304,English,37,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,Full-Time
P0094,APPROVED,Not Applicable,2024-09-06T15:23:39.556000Z,2024-09-06T15:25:29.791000Z,2024-09-06T15:49:01.354000Z,2024-09-06T15:25:30.438463Z,111.0,211,"English, Russian",32,Female,White,Canada,Canada,Canada,Russian,No,Part-Time
P0112,APPROVED,Not Applicable,2024-09-06T15:24:03.005000Z,2024-09-06T15:27:03.037000Z,2024-09-06T15:49:01.643000Z,2024-09-06T15:27:03.817060Z,181.0,229,English,58,Female,White,Germany,Canada,Canada,English,No,Full-Time
P0115,APPROVED,Not Applicable,2024-09-06T15:24:03.509000Z,2024-09-06T15:27:59.511000Z,2024-09-06T15:49:01.899000Z,2024-09-06T15:30:55.557293Z,237.0,85,English,30,Male,White,Canada,Canada,Canada,English,No,Part-Time
P0134,APPROVED,Not Applicable,2024-09-06T15:25:30.610000Z,2024-09-06T15:28:53.450000Z,2024-09-06T15:49:02.194000Z,2024-09-06T15:31:31.965360Z,203.0,1245,English,51,Male,Mixed,Canada,Canada,Canada,English,No,Other
P0114,APPROVED,Not Applicable,2024-09-06T15:24:10.112000Z,2024-09-06T15:27:04.494000Z,2024-09-06T15:49:02.454000Z,2024-09-06T15:27:05.174505Z,175.0,199,English,51,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0133,APPROVED,Not Applicable,2024-09-06T15:24:24.088000Z,2024-09-06T15:28:39.126000Z,2024-09-06T15:49:02.698000Z,2024-09-06T15:31:21.769416Z,256.0,49,English,18,Female,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0104,APPROVED,Not Applicable,2024-09-06T15:24:19.486000Z,2024-09-06T15:26:21.591000Z,2024-09-06T15:49:02.947000Z,2024-09-06T15:26:22.171289Z,123.0,738,English,28,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0116,APPROVED,Not Applicable,2024-09-06T15:24:23.457000Z,2024-09-06T15:27:17.355000Z,2024-09-06T15:49:03.216000Z,2024-09-06T15:27:18.250652Z,174.0,1024,"English, French, Italian, Polish",34,Female,White,Canada,Canada,Canada,Polish,No,Full-Time
P0125,APPROVED,Not Applicable,2024-09-06T15:24:28.056000Z,2024-09-06T15:28:11.856000Z,2024-09-06T15:49:03.474000Z,2024-09-06T15:31:07.851553Z,224.0,217,English,47,Male,White,Canada,Canada,Canada,English,No,Part-Time
P0107,APPROVED,Not Applicable,2024-09-06T15:24:25.046000Z,2024-09-06T15:26:37.016000Z,2024-09-06T15:49:03.715000Z,2024-09-06T15:26:37.759711Z,132.0,671,English,24,Female,Mixed,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0168,APPROVED,Not Applicable,2024-09-06T15:24:31.993000Z,2024-09-06T15:30:41.951000Z,2024-09-06T15:49:03.994000Z,2024-09-06T15:31:56.108497Z,370.0,232,English,53,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0129,APPROVED,Not Applicable,2024-09-06T15:24:38.229000Z,2024-09-06T15:28:17.151000Z,2024-09-06T15:49:04.324000Z,2024-09-06T15:31:08.749282Z,219.0,29,"English, Russian, Ukrainian",29,Female,White,Ukraine,Canada,Ukraine,Ukrainian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0155,APPROVED,Not Applicable,2024-09-06T15:24:59.072000Z,2024-09-06T15:30:19.474000Z,2024-09-06T15:49:04.569000Z,2024-09-06T15:31:53.151235Z,321.0,584,"English, Other",30,Male,Asian,Sri Lanka,Canada,Sri Lanka,English,No,Full-Time
P0109,APPROVED,Not Applicable,2024-09-06T15:24:43.118000Z,2024-09-06T15:26:41.160000Z,2024-09-06T15:49:04.823000Z,2024-09-06T15:26:41.747451Z,119.0,206,English,30,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0123,APPROVED,Not Applicable,2024-09-06T15:25:05.469000Z,2024-09-06T15:28:25.504000Z,2024-09-06T15:49:05.067000Z,2024-09-06T15:31:13.929231Z,201.0,0,"French, English",38,Male,White,Canada,Canada,Canada,French,No,Full-Time
